@relation DataSet

@attribute cell_id numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute in-Mon numeric
@attribute out-Mon numeric
@attribute in-Tue numeric
@attribute out-Tue numeric
@attribute in-Wed numeric
@attribute out-Wed numeric
@attribute in-Thu numeric
@attribute out-Thu numeric
@attribute in-Fri numeric
@attribute out-Fri numeric
@attribute in-Sat numeric
@attribute out-Sat numeric
@attribute in-Sun numeric
@attribute out-Sun numeric
@attribute tot-in numeric
@attribute tot-out numeric
@attribute tot numeric

@data
0,39.987995,116.196716,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,14,22
1,39.905041,116.267677,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24,46,70
2,39.882053,116.268677,0,0,0,0,0,0,1,1,0,0,0,0,0,0,16,30,46
3,39.981998,116.309654,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18,34,52
4,39.895046,116.314651,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,18,28
5,40.075947,116.323647,0,0,0,0,0,1,0,0,0,0,0,1,0,0,18,34,52
6,40.075947,116.324646,0,2,0,1,0,0,0,0,0,0,0,0,0,1,161,318,479
7,39.990993,116.325645,0,0,0,0,0,0,0,1,0,0,0,2,0,0,12,21,33
8,39.993992,116.325645,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6,10
9,40.076946,116.325645,0,1,0,0,0,0,0,1,0,0,0,0,0,0,72,142,214
10,39.974003,116.326645,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,8,13
11,39.981998,116.326645,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,30,46
12,39.983997,116.326645,1,0,0,0,1,0,0,1,0,0,0,0,0,0,88,173,261
13,39.984997,116.326645,0,0,0,0,2,0,0,0,0,0,0,0,0,0,32,62,94
14,39.990993,116.326645,0,0,0,1,1,0,0,0,0,0,0,0,0,0,48,94,142
15,39.975002,116.327644,1,0,0,0,0,0,1,0,0,0,0,0,0,0,72,142,214
16,39.975002,116.328644,0,0,0,0,1,0,0,0,0,0,0,0,2,0,18,33,51
17,39.975002,116.329643,1,0,0,0,4,1,0,0,1,0,4,2,0,1,161,308,469
18,39.975002,116.330643,0,4,4,1,1,4,1,2,3,2,3,2,1,2,553,1076,1629
19,39.976002,116.330643,0,0,0,0,1,0,0,0,1,1,0,0,0,0,24,45,69
20,39.977001,116.330643,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,30,46
21,39.975002,116.337639,0,0,0,2,0,0,0,0,0,0,0,0,0,0,64,126,190
22,39.966007,116.341637,0,0,0,0,0,3,0,0,0,0,0,0,0,0,48,93,141
23,39.967007,116.342636,0,0,0,0,0,3,0,0,0,0,0,0,0,0,48,93,141
24,39.966007,116.343636,0,0,0,3,4,0,0,0,0,1,1,1,1,3,172,330,502
25,39.967007,116.344635,0,0,0,0,0,0,1,1,0,0,0,0,0,0,16,30,46
26,39.974003,116.346634,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,9,15
27,39.984997,116.350632,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,78,118
28,39.984997,116.351631,0,0,0,0,0,0,1,1,0,0,0,0,0,1,17,31,48
29,39.984997,116.352631,0,0,0,0,0,2,0,0,0,0,0,0,0,0,32,62,94
30,39.908039,116.367622,2,0,0,0,0,0,0,0,0,0,0,0,0,0,128,254,382
31,39.998989,116.377617,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,16,25
32,39.999989,116.378616,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,22,34
33,39.908039,116.411598,0,0,1,0,0,0,0,0,0,1,0,0,0,0,36,70,106
34,39.970005,116.417595,0,0,0,0,0,1,2,0,0,0,0,2,0,0,36,67,103
35,39.971004,116.417595,0,1,0,0,1,0,0,0,0,0,0,0,0,0,80,158,238
36,39.976002,116.417595,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6,10
37,39.978001,116.417595,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6,10
38,39.983997,116.418594,0,0,0,3,0,0,0,0,0,0,0,0,0,0,96,189,285
39,39.903042,116.420593,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,7
40,39.971004,116.422592,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7
41,39.932026,116.429588,0,0,2,0,0,0,0,0,0,0,0,0,0,0,64,126,190
42,39.938023,116.429588,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,9,15
43,39.985996,116.447578,0,1,0,0,0,0,0,0,0,0,0,1,0,1,67,131,198
44,39.984997,116.450577,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,7
45,39.988995,116.450577,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4
46,39.958012,116.459572,0,0,0,1,0,1,0,0,0,0,0,0,0,0,48,94,142
47,39.932026,116.460571,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4
48,39.953014,116.461571,0,0,1,0,1,0,0,0,0,0,0,0,0,0,48,94,142
49,39.946018,116.466568,0,0,0,0,1,1,0,0,0,0,0,0,0,0,32,62,94
50,39.90704,116.471565,1,0,0,0,0,0,0,0,1,0,0,0,0,0,68,134,202
51,39.910038,116.471565,0,0,1,0,0,0,1,0,0,0,0,0,0,0,40,78,118
52,39.926029,116.471565,0,2,0,2,0,3,0,1,0,3,2,4,1,1,274,529,803
53,39.927029,116.471565,0,1,0,0,3,2,0,2,0,4,2,6,6,6,204,376,580
54,39.929028,116.471565,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,8,13
55,39.113476,117.165184,1,1,0,0,0,0,0,0,0,0,0,0,0,0,128,254,382
56,39.635189,119.307007,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,6,10
57,39.850071,119.415947,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6,10
58,39.822086,119.479912,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,6,10
59,39.821087,119.485909,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6,10
60,39.817089,119.497902,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4
61,39.826084,119.497902,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4
62,31.591978,120.306976,0,0,0,1,0,1,0,1,0,0,0,0,0,1,57,110,167
63,32.971722,114.014145,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,22,34
64,32.978718,114.035133,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,8,13
